user_id,nama,lokasi
1,Koba Camp,Toka
1,Blambangan VP,Kopra Pit
1,Araren Pit(Tinerungan),Tinerungan
1,Alaskar Pit,Alaskar
1,Kopra Pit,Kopra
1,Blambangan (Tinerungan),Blambangan
1,Araren Pit (Araren),Araren
1,Toka Pit (Rinendorang),Toka
