name,conductivity,total_dissolved_solids_tds,total_suspended_solids_tss,turbidity,hardness,temperature,colour,salinity,alkalinity_as_caco3,dissolved_oxygen_do,alkalinity_total,alkalinitycarbonate,alkalinitybicarbonate,ph,chloride_cl,free_chlorine,fluoride_f,sulphate_so4,sulphite_h2s,free_cyanide_fcn,total_cyanide_cn_tot,wad_cyanide_cn_wad,ammonium_nh4,ammonia_nnh3,nitrate_no3,nitrite_no2,phosphate_po4,total_nitrogen,aluminium_al,antimony_sb,arsenic_as,barium_ba,boron_b,calcium_ca,cadmium_cd,chromium_cr,chromium_hexavalent_cr6+,cobalt_co,copper_cu,iron_fe,lead_pb,magnesium_mg,manganese_mn,mercury_hg,nickel_ni,selenium_se,silver_ag,sodium_na,zinc_zn,aluminium_tal,arsenic_tas,cadmium_tcd,chromium_hexavalent_tcr6+,chromium_tcr,cobalt_tco,copper_tcu,iron_tfe,lead_tpb,selenium_tse,mercury_thg,nickel_tni,zinc_tzn,bod,cod,oil_and_grease,phenols,surfactant_mbas,benzene_hexa_chloride_bhc,endrin,dichloro_diphenyl_trichloroethane_ddt,fecal_coliform,e_coli,total_coliform_bacteria_
Unit,(?S/cm),(mg/L),(mg/L),(NTU),(oD),ºC,TCU,‰,(mg/L),(mg/L),(mg/L),mg/L,mg/L,n/a,(mg/L),(mg/L),(mg/L),(mg/L),(mg/L),(mg/L),(mg/L),(mg/L),(mg/L),(mg/L),(mg/L),(mg/L),(mg/L),(mg/L),(mg/L),(mg/L),(mg/L),(mg/L),(mg/L),(mg/L),(mg/L),(mg/L),(mg/L),(mg/L),(mg/L),(mg/L),(mg/L),(mg/L),(mg/L),(mg/L),(mg/L),(mg/L),(mg/L),(mg/L),(mg/L),(mg/L),(mg/L),(mg/L),(mg/L),(mg/L),(mg/L),(mg/L),(mg/L),(mg/L),(mg/L),(mg/L),(mg/L),(mg/L),(mg/L),(mg/L),(mg/L),(mg/L),(mg/L),(mg/L),(mg/L),(mg/L),Jml/100ml,Jml/100ml,Jml/100ml
Regulatory Standard : Government Regulation No. 82 year 2001 for Surface Water Class II,n/a,1000,50,-,Internal,Insitu,-,-,-,4,n/a,Internal,Internal,6-9,Internal,0.03,1.5,n/a,0.002,n/a,0.02,n/a,-,n/a,10,0.06,0.2,-,n/a,-,1,-,1,Internal,0.01,-,0.05,0.2,0.02,n/a,0.03,Internal,n/a,0.002,-,0.05,n/a,-,0.05,No. Std,No. Std,No. Std,No. Std,No. Std,No. Std,No. Std,No. Std,No. Std,No. Std,No. Std,No. Std,No. Std,3,25,1,0.001,0.2,-,-,-,-,1000,5000
PP No 22 Tahun 2021 Lampiran VI,n/a,1000,50,-,n/a,25±3,50,-,-,> 4,n/a,n/a,n/a,6-10,300,0.03,1.5,300,0.002,n/a,0.02,n/a,-,0.2,10,0.06,0.2,15,n/a,-,0.05,-,1,n/a,0.01,-,0.05,0.2,0.02,n/a,0.03,n/a,n/a,0.002,0.05,0.05,n/a,-,0.05,-,-,-,-,-,-,-,-,-,-,-,-,-,3,25,1,0.005,0.2,0.21,0.004,0.002,1000,-,5000
IFC Standard,No. Std,No. Std,50,No. Std,No. Std,(+/-3º),-,No. Std,No. Std,No. Std,No. Std,-,-,(6-9),No. Std,-,No. Std,No. Std,No. Std,0.1,1,0.5,No. Std,No. Std,No. Std,No. Std,No. Std,-,No. Std,No. Std,1,No. Std,-,-,0.1,0.05,0.1,No. Std,0.3,2,0.6,-,No. Std,0.002,0.5,No. Std,No. Std,No. Std,1,No. Std,No. Std,No. Std,1,1,No. Std,No. Std,No. Std,No. Std,No. Std,0.002,No. Std,No. Std,50,150,20,0.5,No. Std,-,-,-,No. Std,No. Std,No. Std
