user_id,nama ,antimony ,arsenic ,barium ,beryllium ,boron ,cadmium ,hexavalent ,chromium_cr ,copper ,iodide ,lead ,mercury ,molybdenum ,nickel ,selenium ,silver ,tributyl ,zinc_zn ,chloride_cl ,free_cyanide ,total_cyanide ,fluoride ,nitrite_no2 ,nitrate ,aldrin ,dieldrin ,benzene ,benzo_a_pyrene ,tetrachloride ,chlordane ,chlorobenzene ,chlorophenol2 ,chloroform ,o_cresol ,m_cresol ,p_cresol ,total_cresol ,ethylhexylphthalate ,d ,dichlorobenzene2 ,dichlorobenzene4 ,dichloroethane1 ,dichloroethylene ,dichloroethene2 ,dichloroethene3 ,dichloromethane ,dichlorophenol ,dinitrotoluene ,ethyl_benzene ,thylenediaminetetraacetic ,formaldehyde ,hexachloro ,endrin ,heptachlor ,hexachlorobenzene ,hexachlorobutadiene ,hexachloroethane ,total_phenols ,lindane ,methoxychlor1 ,ketone ,parathion1 ,nitrobenzene ,styrene ,tetrachloroethane1 ,tetrachloroethane2 ,nitriloacetic ,pentachlorophenol ,pyridine ,toxaphene1 ,parathion ,total_chlor ,tetrachloroethene ,toluene ,trichlorobenzene ,methoxychlor2 ,trichloroethane1 ,trichloroethene2 ,toxaphene2 ,trichloroethylene ,trihalomethanes ,trichlorophenol5 ,trichlorophenol6 ,tp_silvex ,vinyl_chloride ,xylenes_total ,ddt_ddd_dde ,dichlorophenoxyacetic ,tom
1,Unit,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg Sn/L,mg/L,mg/L,mg/L,-,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,-,-,-,-,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,-,mg/kg body weight
1,RL,1,5,100,0.5,500,1,-,5,10,5,5,0.2,3.5,3.5,1,5,0.05,50,12500,200,-,150,100,1000,0.07,0.07,0.5,0.0005,0.5,0.03,100,3,6,200,200,200,200,0.4,10,50,7.5,0.5,0.7,3,2.5,1,10,0.13,-,-,-,-,0.02,0.008,0.13,n/a,3,7,0.4,10,200,0.7,2,1,4,0.65,5,100,5,0.5,3.5,0.3,0.7,35,1.5,15,0.6,0.25,0.5,0.5,n/a,400,2,1,0.2,25,0.05,1.5,-
1,PP RI No. 22 Tahun 2021 Lampiran XIII TCLP-B,1,0.5,35,0.5,25,0.15,2.5,-,10,5,0.5,0.05,3.5,3.5,0.5,5,0.05,50,12500,-,3.5,75,150,2500,0.0015,-,0.5,0.0005,0.2,0.01,15,15,3,-,-,-,100,0.4,-,50,15,2.5,-,3,2.5,1,10,0.065,15,30,25,0.03,n/a,0.015,n/a,-,n/a,7,0.1,1,100,-,1,1,4,0.65,-,0.45,n/a,n/a,-,-,2.5,35,1.5,15,0.6,0.25,-,-,-,200,1,1.5,0.015,25,0.05,1.5,-
