user_id,point_id,date,equipment,fuel_type,capacity,ambient_temperature,stack_temperature,meter_temperature,moisture_content,actual_volume_sample,standard_volume_sample,actual_oxygen_o2,velocity_linear,dry_molecular_weight,actual_stack_flowrate,percent_of_isokinetic,ammonia_nh3,chlorine_cl2,hydrogen_chloride_hcl,hydrogen_fluoride_hf,nitrogen_dioxide-no2,nitrogen_oxide_nox,opacity,total_particulate_isokinetic,sulfur_dioxide_so2,hydrogen_sulphide_h2s,mercury_hg,arsenic_as,antimony_sb,cadmium_cd,zinc_zn,lead_pb
1,13,2020-03-26,Furnace,Diesel,150,31.2,75.8,31.2,5,0.902,0.871,15.8,6.5,29.2,0.459,98,0.1,0.5,3,0.2,-,10,10,15,1,0.1,0.25,0.1,0.1,0.97,1,0.3
1,13,2020-09-19,Furnace,Diesel,150,33,65,33,3.63,1.56,1.53,16.1,7.3,29.2,0.9,96.7,0.1,0.5,3,0.2,-,10,10,32,1,0.1,2.24,0.8,0.9,0.84,1,1.8
1,13,2021-01-04,Furnace,Diesel,150,33,61,33,3.82,1.42,1.4,16.8,6.3,28.7,0.8,100,0.2,0.5,3,0.2,-,10,10,10,1,0.1,0.03,0.1,0.1,0.07,1,0.1
1,13,2021-10-09,Furnace,Diesel,150,34,69,34,3.77,1.05,1.01,13.1,7.3,29.2,0.9,100,0.1,0.5,3,0.2,-,10,10,16,1,0.1,0.01,0.1,0.1,0.01,1,0.1
1,13,2022-02-26,Furnace,Diesel,150,32,71,32,3.82,1.12,1.09,15,8.1,29.3,1,99,0.1,0.5,3,0.2,-,19,10,13,77,0.1,0.01,0.1,0.1,0.04,1,0.1
