id,user_id,point_id,standard_id,date,peak_vektor_std,time,transversal_freq,vertical_freq,longitudinal_freq,transversal_ppv,vertical_ppv,longitudinal_ppv,peak_vektor,noise_level,blast_location,weather,sampler,remarks
1,1,4,8,2014-11-21,7,12:10:19,18.0,16.0,22.0,0.730,0.413,0.651,0.755,84.2,Blambangan,Bright,RT/CR,-
1,1,4,8,2014-11-22,7,12:10:55,23.0,28.0,24.0,0.857,0.508,0.857,0.996,61.4,Blambangan,Cloudy,MU/RT,-
1,1,4,8,2014-11-28,7,12:10:05,7.5,10.0,8.1,1.570,1.250,1.680,2.070,69.7,Blambangan,Cloudy,CR/RT,-
1,1,4,8,2014-11-29,7,12:08:19,16.0,22.0,18.0,0.683,0.476,0.587,0.767,80.2,Blambangan,Rainy,DA/RT,-
1,1,4,8,2014-12-01,7,12:11:26,8.1,11.0,8.0,2.110,0.841,1.330,2.270,65.7,Blambangan,Rainy,DA/RT,-
1,1,4,8,2014-12-04,7,12:57:49,7.6,11.0,10.0,1.460,1.240,1.41,1.820,62.2,Blambangan,Bright,DA/RT,-
1,1,4,8,2014-12-06,7,12:15:00,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Blambangan,Cloudy,AP/RT,-
1,1,4,8,2014-12-15,7,12:08:15,18.0,21.0,16.0,0.476,0.381,0.444,0.545,69.9,Blambangan,Cloudy,AP/RT,-
1,1,4,8,2014-12-17,7,12:15:11,28.0,21.0,37.0,0.762,0.651,0.873,0.989,70.4,Blambangan,Cloudy,AP/RT,-
1,1,4,8,2014-12-29,7,12:12:38,20.0,19.0,14.0,0.508,0.444,0.587,0.606,63.2,Blambangan,Cloudy,CR/RT,-
1,1,4,8,2014-12-31,7,12:19:06,23.0,21.0,14.0,0.381,0.429,0.397,0.625,71.2,Blambangan,Cloudy,DA/RT,-
1,1,4,8,2015-01-03,7,12:12:50,6.7,18.0,8.5,1.080,0.556,1.170,1.290,60.1,Blambangan,Cloudy,AP,-
1,1,4,8,2015-01-10,7,12:14:35,17.0,20.0,20.0,0.889,0.698,1.000,1.140,78.9,Blambangan,Cloudy,DA/RH,-
1,1,4,8,2015-01-14,7,12:14:14,14.0,13.0,8.0,1.900,1.250,2.170,2.300,69.0,Blambangan,Bright,DA/RT,-
1,1,4,8,2015-01-19,7,12:34:11,8.0,11.0,9.0,0.810,0.587,1.270,1.310,65.9,Blambangan,Rain,CR/RT,-
1,1,4,8,2015-01-20,7,12:14:56,18.0,14.0,17.0,0.651,0.365,0.746,0.804,62.2,Blambangan,Rain,CR/RT,-
1,1,4,8,2015-01-22,7,12:12:59,32.0,32.0,28.0,0.984,0.698,0.889,1.150,83.7,Blambangan,Rain,CR/BK,-
1,1,4,8,2015-01-28,7,12:12:29,16.0,14.0,18.0,0.841,0.730,0.810,1.020,62.5,Blambangan,Bright,AL/BK,-
1,1,4,8,2015-01-29,7,12:12:13,21.0,27.0,37.0,1.170,0.794,0.921,1.390,73.8,Blambangan,Bright,AL/BK,-
1,1,4,8,2015-01-31,7,12:11:46,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Blambangan,Bright,AP/MW,-
1,1,4,8,2015-02-02,7,12:15:12,18.0,23.0,15.0,0.476,0.429,0.476,0.534,67.6,Blambangan,Bright,AP,-
1,1,4,8,2015-02-04,7,12:10:40,73.0,>100,85.0,0.143,0.175,0.683,0.706,73.6,Blambangan,Bright,AP,-
1,1,4,8,2015-02-06,7,12:11:25,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Blambangan,Bright,AP,-
1,1,4,8,2015-02-07,7,12:15:22,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Blambangan,Bright,AP,-
1,1,4,8,2015-02-09,7,12:11:26,20.0,27.0,20.0,0.317,0.349,0.508,0.524,76.2,Blambangan,Bright,CR/RT,-
1,1,4,8,2015-02-09,7,12:11:26,28.0,30.0,21.0,0.397,0.349,0.492,0.527,81.7,Blambangan,Bright,CR/RT,-
1,1,4,8,2015-02-11,7,12:15:00,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Blambangan,Bright,RT/BK,-
1,1,4,8,2015-02-12,7,12:18:57,17.0,19.0,17.0,1.350,0.476,1.11,1.450,60.6,Blambangan,Bright,AP/RT,-
1,1,4,8,2015-02-13,7,12:13:17,17.0,20.0,18.0,1.570,1.000,0.905,1.850,64.0,Blambangan,Cloudy,DA/AL,-
1,1,4,8,2015-02-14,7,12:23:24,18.0,6.2,19.0,1.370,0.619,1.60,7.710,61.1,Blambangan,Bright,AP/AL,-
1,1,4,8,2015-02-16,7,12:15:18,27.0,7.0,13.0,0.714,0.349,0.778,0.855,75.9,Blambangan,Bright,CR/RT,-
1,1,4,8,2015-02-18,7,12:08:33,24.0,18.0,21.0,0.778,0.683,1.080,1.140,62.7,Blambangan,Rain,AL/CR,-
1,1,4,8,2015-02-19,7,12:12:29,24.0,37.0,47.0,1.160,0.730,1.080,1.420,59.1,Blambangan,Rain,CR/RH,-
1,1,4,8,2015-02-20,7,12:11:39,15.0,15.0,12.0,0.905,0.476,0.587,0.929,58.4,Blambangan,Bright,AW/CR,-
1,1,4,8,2015-02-21,7,12:10:35,18.0,24.0,19.0,1.320,0.524,1.38,1.440,61.4,Blambangan,Bright,AL/BK,-
1,1,4,8,2015-02-23,7,12:09:10,12.0,12.0,6.6,0.937,0.619,1.06,1.330,61.0,Blambangan,Bright,AL/RT,-
1,1,4,8,2015-02-24,7,12:09:21,15.0,18.0,7.2,1.190,0.635,0.825,1.410,67.3,Blambangan,Bright,AL/RT,-
1,1,4,8,2015-02-25,7,12:09:14,22.0,23.0,21.0,1.300,0.762,1.650,1.830,58.7,Blambangan,Bright,RH/BK,-
1,1,4,8,2015-02-26,7,12:09:57,7.8,24.0,8.0,1.300,0.619,1.00,1.380,63.2,Blambangan,Bright,RT/BK,-
1,1,4,8,2015-02-27,7,12:10:40,19.0,19,20,1.000,0.651,0.603,1.030,67.8,Blambangan,Bright,RT/BK,-
1,1,4,8,2015-02-28,7,12:11:54,11.0,17,13,0.730,0.556,0.825,0.942,69.4,Blambangan,Bright,RT/BK,-
1,1,4,8,2015-03-04,7,12:09:19,9.7,12,14,1.320,0.952,1.10,1.600,65.5,Blambangan,Bright,RT/BK,-
1,1,4,8,2015-03-06,7,12:10:26,20.0,27,12,1.170,0.873,1.43,1.530,76.1,Blambangan,Bright,RT/BK,-
1,1,4,8,2015-03-07,7,12:00:00,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Blambangan,Bright,AP/RT,-
1,1,4,8,2015-03-09,7,12:31:38,13.0,27,16,0.841,0.571,0.825,1.010,60.5,Blambangan,Bright,AP/RT,-
1,1,4,8,2015-03-11,7,12:15:00,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Not trigered,Blambangan,Bright,AP/BK,-
1,1,4,8,2015-03-12,7,12:15:45,13.0,18,12,0.508,0.397,0.651,0.657,69.3,Blambangan,Bright,RT/BK,-
1,1,4,8,2015-03-13,7,12:09:32,14.0,23,20,1.810,0.889,2.16,2.260,59.8,Blambangan,Bright,AP/BK,-
1,1,4,8,2015-03-16,7,12:13:54,21.0,22,20,0.857,0.619,1.330,1.430,51.3,Blambangan,Bright,AL/CR,-
1,1,4,8,2015-03-17,7,12:08:29,9.3,18,9,1.430,1.110,1.03,1.560,62.6,Blambangan,Bright,AP/BK,-
1,1,4,8,2015-03-17,7,12:09:02,9.0,18,10,1.410,0.905,2.140,2.160,63.7,Blambangan,Bright,AP/BK,-
1,1,4,8,2015-03-18,7,12:14:04,9.5,10,7,1.590,1.110,1.25,1.620,57.9,Blambangan,Bright,AP/RT,-
1,1,4,8,2015-03-19,7,12:11:44,12.0,11,9,1.410,1.430,1.540,2.040,64.6,Blambangan,Bright,AP/BK,-
1,1,4,8,2015-03-21,7,12:18:13,16.0,17,11,1.460,0.730,1.44,1.540,79.5,Blambangan,Bright,AP/RT,-
1,1,4,8,2015-03-23,7,12:37:21,24.0,39.0,32.0,0.635,0.571,0.794,0.879,72.4,Blambangan,Bright,AL/RT,-
1,1,4,8,2015-03-24,7,12:06:54,28.0,20.0,16.0,1.110,0.794,1.06,1.190,56.7,Blambangan,Bright,AP/DA,-
1,1,4,8,2015-03-26,7,12:21:35,22.0,18.0,22.0,0.746,0.619,0.762,1.010,68.9,Blambangan,Bright,RT/BK,-
1,1,4,8,2015-03-27,7,12:27:53,15.0,17.0,15.0,0.984,0.651,0.714,1.070,61.4,Blambangan,Bright,RT/BK,-
1,1,4,8,2015-03-28,7,12:11:19,17.0,15.0,11.0,1.560,0.921,1.19,1.600,75.7,Blambangan,Bright,AP/RT,-
1,1,4,8,2015-03-30,7,12:16:14,14.0,18.0,9.1,1.030,0.635,0.714,1.090,64.5,Blambangan,Bright,AL/CR,-
1,1,4,8,2015-04-01,7,12:08:22,34.0,34.0,43.0,0.476,0.429,0.444,0.557,61.2,Blambangan,Bright,RH/BK,-
1,1,4,8,2015-04-04,7,12:07:23,24.0,26.0,14.0,0.730,0.556,0.651,0.824,68.3,Blambangan,Bright,RT/BK,-
1,1,4,8,2015-04-06,7,12:07:23,18.0,12.0,18.0,1.490,0.429,1.56,2.070,58.0,Blambangan,Bright,DA/AL,-
1,1,4,8,2015-04-08,7,12:05:32,14.0,11.0,9.3,1.140,0.667,1.29,1.460,73.9,Blambangan,Bright,-,-
1,1,4,8,2015-04-09,7,12:14:39,7.8,12.0,8.4,1.240,0.460,1.46,1.480,71.9,Blambangan,Rain,CR/RT,-
1,1,4,8,2015-04-11,7,12:23:02,7.5,9.3,13.0,0.857,0.825,0.825,1.160,73.5,Blambangan,Bright,RH/RT,-
1,1,4,8,2015-04-13,7,12:17:22,17.0,20.0,22.0,0.889,0.778,1.00,1.160,71.0,Blambangan,Bright,AP/BK,-
1,1,4,8,2015-04-15,7,12:13:22,10.0,12.0,11.0,1.250,0.667,1.00,1.470,81.8,Blambangan,Bright,AL/RT,-
1,1,4,8,2015-04-17,7,12:14:54,7.0,9.1,7.6,1.130,0.635,1.33,1.370,67.4,Blambangan,Bright,RH/RT/BK,-
1,1,4,8,2015-04-18,7,12:43:33,17.0,16.0,20.0,0.940,0.635,0.64,1.140,64.4,Blambangan,Bright,AP/RT,-
1,1,4,8,2015-04-20,7,12:43:33,11.0,17.0,13.0,1.020,0.857,0.92,1.410,70.1,Blambangan,Bright,AP/AL,-
1,1,4,8,2015-04-22,7,12:11:05,11.0,12.0,8.8,0.841,0.571,0.79,1.240,62.2,Blambangan,Bright,AP/AL/BK,-
1,1,4,8,2015-04-24,7,12:12:41,15.0,18.0,13.0,1.440,0.762,0.587,1.510,63.1,Blambangan,Bright,RH/RT/BK,-
1,1,4,8,2015-04-25,7,12:13:06,17.0,20.0,17.0,0.841,0.460,0.683,0.868,65.5,Blambangan,Rainy,RH/RT,-
1,1,4,8,2015-04-27,7,12:11:22,21.0,21.0,18.0,0.937,1.020,1.21,1.530,66.9,Blambangan,Rainy,RH/RT/CR,-
1,1,4,8,2015-04-29,7,12:16:10,17.0,26.0,18.0,0.968,0.540,0.698,0.999,60.1,Blambangan,Cloudy,AP/RT,-
1,1,4,8,2015-04-30,7,12:16:06,30.0,64.0,34.0,0.381,0.254,0.397,0.413,57.3,Blambangan,Bright,AP/BK,-
1,1,4,8,2015-05-02,7,12:15:17,7.2,13.0,11.0,1.460,0.698,1.40,1.720,57.3,Blambangan,Bright,AP/AL/CR,-
1,1,4,8,2015-05-04,7,12:16:18,16.0,20.0,17.0,0.968,0.667,0.524,0.987,57.2,Blambangan,Bright,RH/BK,-
1,1,4,8,2015-05-06,7,12:14:04,18.0,28.0,22.0,0.968,0.667,0.635,0.671,62.4,Blambangan,Bright,RH/CR,-
1,1,4,8,2015-05-08,7,12:18:11,11.0,14.0,11.0,1.290,0.603,1.79,1.810,61.1,Blambangan,Bright,CR/DK,-
