user_id,point_id,date,ph,ph_h2o,total_organic_carbon,total_nitrogen,cn,calsium,magnesium,pottasium,sodium,jumlah,p2o5_hcl_25,k2o_hcl_25,p2o5_olsen,kapasitas_tukar_kation,kb_kejenuhan_basa,al__tukar,_h__tukar,pasir,debu,lempung,bulk_density,moisture_content,ruang_pori_total,pd,sangat_cepat,cepat,lambat,air_tersedia,permeabilitas,pf_1,pf_2,pf_2_54,pf_4_2,laboratorium
1,11,2014-03-23,6.2,6,0.7,1.6,-,6810,4360,437,1530,-,37,18,10,18.6,-,0,0.02,66,18,16,1.29,-,42.4,-,-,13.7,6.7,7,13.9,-,-,-,-,-
1,11,2014-09-09,6,6.3,1.1,0.5,-,5.25,1.86,0.23,0.47,-,32,8,11.1,5.81,-,0,0.02,81,11,8,1.17,9.6,51.3,-,-,11.5,6.4,22.9,17.29,-,-,-,-,-
1,11,2015-04-01,5.72,6.82,2.18,0.21,-,5760,258,3750,884,-,12,10,35.19,17.62,-,0,0,17,63,20,1.08,-,54.4,-,-,15.2,4.7,15.3,5.09,-,-,-,-,-
1,11,2015-09-29,5.22,5.5,0.95,0.09,-,4340,356,2400,322,-,8,11,7.52,12.75,-,0.02,0.08,17,53,30,1.2,-,51.8,-,-,16.1,5.9,12.3,3.51,-,-,-,-,-
1,11,2016-04-26,5.93,6.46,1.22,0.13,-,4240,3270,338,583,-,12,15,15.62,12,-,0,0,21,49,30,1.23,33.5,49.2,2.42,-,11,4.3,16,0.92,46.8,38.2,33.9,17.9,-
1,11,2016-10-13,4.98,5.33,1.12,0.09,-,4490,4610,391,616,-,18,21,21.27,23.41,-,1.56,0.74,24,57,19,1.24,-,48.5,2.41,-,16.3,5.4,13.7,4.26,-,-,-,-,-
1,11,2017-01-16,5.93,7.08,1.17,0.11,-,4700,2660,198,791,-,5,6,14.69,29.79,-,0,0,17,49,34,1.21,-,50.6,2.45,-,11.4,6.1,10.8,2.04,-,-,-,-,-
1,11,2017-07-17,5.69,6.89,0.76,0.1,7.6,4780,4310,279,637,-,6,8,14.51,11.82,-,0,0,27,62,11,1.15,-,52.3,2.41,-,13.7,6.4,13,3.95,-,-,-,-,-
1,11,2018-01-24,5.78,7.1,1.49,0.21,7,3230,3080,249,54,-,8,13,18.68,22.94,-,0,0,19,42,39,1.24,-,2.51,50.6,-,12.6,5.7,12.5,0.38,-,-,-,-,-
1,11,2018-07-14,6.01,6.93,2.95,0.29,10.17,4700,3170,201,929,-,7,10,20.38,12,-,0,0,18,62,20,1.09,-,2.38,54.2,-,14.9,6.5,13.6,1.18,-,-,-,-,-
1,11,2019-02-21,6.31,7.11,0.87,0.08,-,3340,3030,192,10,-,4,-,16.33,13.69,-,1.26,0.19,20,58,22,1.19,-,52.6,-,-,29,7.3,9.5,6.31,-,-,-,-,WLN
1,11,2019-07-31,5.55,6.71,0.95,0.05,-,4.7,2.6,0.2,0.1,-,0.5,0.7,16.6,7.6,-,0.02,1,64.3,20.7,15,1.01,-,46.2,-,-,18.9,4.8,6.8,8.95,-,-,-,-,IT
1,11,2020-03-26,8,7.89,0.29,0.02,-,12.8,1.4,0.1,0.1,-,59,0.197,0.03,12.9,-,0.02,1,30,38.5,31.5,1.2,-,43.9,-,-,8.3,11.9,8.6,0.79,-,-,-,-,IT
1,11,2020-10-12,6.1,6.68,1.3,0.11,-,13.12,2.91,1.98,1.16,-,343.87,256.25,75.04,21.45,89.31,tr,0.12,70.96,26.01,3.02,1.35,-,49.05,-,4.48,6.67,8.13,12.33,3.44,-,-,-,-,WLN
1,11,2021-04-21,5.98,6.85,0.48,0.06,-,7.64,3.3,0.22,0.24,-,391.1,230.1,160.1,11.59,98.37,tr,0.11,81.6,8.3,10.1,-,-,-,-,-,-,-,-,-,-,-,-,-,WLN
1,11,2021-09-21,4.87,5.63,0.25,0.09,-,8.08,3.71,0.37,0.33,-,495.5,256,9.1,16.38,76.18,tr,0.21,70.67,12.73,16.6,1.35,-,49.09,-,6.18,8.54,6.98,8.82,51.36,-,-,-,-,WLN
1,11,2022-03-23,5.63,6.39,0.71,0.11,-,4.86,1.7,0.32,0,-,46.3,358.6,11.7,6.84,100.5,tr,0.08,60.95,31.62,7.43,1.16,-,56.23,-,11.09,12.33,8.43,10.53,47.61,-,-,-,-,WLN
