codesample_id,standard_id,date,conductivity,total_dissolved_solids_tds,total_suspended_solids_tss,turbidity,hardness,temperature_,colour,salinity,alkalinity_as_caco3,dissolved_oxygen_do,alkalinity_total,alkalinitycarbonate,alkalinitybicarbonate,ph,chloride_cl,free_chlorine,fluoride_f,sulphate_so4,sulphite_h2s,free_cyanide_fcn,total_cyanide_cn_tot,wad_cyanide_cn_wad,ammonium_nh4,ammonia_nnh3,nitrate_no3,nitrite_no2,phosphate_po4,total_nitrogen,aluminium_al,antimony_sb,arsenic_as,barium_ba,boron_b,calcium_ca,cadmium_cd,chromium_cr,chromium_hexavalent_cr6+,cobalt_co,copper_cu,iron_fe,lead_pb,magnesium_mg,manganese_mn,mercury_hg,nickel_ni,selenium_se,silver_ag,sodium_na,zinc_zn,aluminium_tal,arsenic_tas,cadmium_tcd,chromium_hexavalent_tcr6+,chromium_tcr,cobalt_tco,copper_tcu,iron_tfe,lead_tpb,selenium_tse,mercury_thg,nickel_tni,zinc_tzn,bod,cod,oil_and_grease,phenols,surfactant_mbas,benzene_hexa_chloride_bhc,endrin,dichloro_diphenyl_trichloroethane_ddt,fecal_coliform,e_coli,total_coliform_bacteria_
28,3,2005-04-01,-,-,26,-,-,-,-,-,66,-,-,-,-,-,-,-,-,-,ND,-,ND,ND,-,-,-,-,-,-,-,ND,ND,-,-,-,-,-,-,-,0.004,0.467,ND,-,0.031,0.00014,-,-,ND,-,ND,-,-,-,-,-,-,-,-,-,-,0.00014,-,-,-,-,-,-,-,-,-,-,-,-,-
28,3,2005-05-01,-,-,14,12.0,-,-,-,-,74,-,-,-,-,7.0,1.4,-,-,2,-,-,-,-,-,-,0.052,-,-,-,-,-,-,-,-,-,-,0.001,-,-,0.007,0.437,ND,-,0.035,ND,-,-,ND,-,ND,-,-,-,-,-,-,-,-,-,-,ND,-,-,-,-,-,-,-,-,-,-,411,-,2420
28,3,2005-06-01,-,-,5,7.5,-,-,-,-,70,-,-,-,-,7.4,8.5,-,-,3,-,-,-,-,-,-,0.005,-,-,-,-,-,-,-,-,-,-,0.001,-,-,0.006,0.095,ND,-,0.012,ND,-,-,ND,-,ND,-,-,-,-,-,-,-,-,-,-,ND,-,-,-,-,-,-,-,-,-,-,900,-,1600
28,3,2005-07-01,166.0,-,4,5.6,-,-,-,-,77,-,-,-,-,7.4,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,ND,ND,-,-,-,-,-,-,-,ND,0.19,ND,-,-,ND,-,-,ND,-,-,-,-,-,-,-,-,-,-,-,-,ND,-,-,-,-,-,-,-,-,-,-,116,-,2420
28,3,2005-08-01,182.0,-,3,2.5,-,-,-,-,79,7.9,-,-,-,8.0,-,-,-,5,-,-,ND,ND,-,-,-,-,-,-,-,ND,ND,-,-,-,-,-,-,-,ND,0.173,ND,-,-,ND,-,-,ND,-,-,-,-,-,-,-,-,-,-,-,-,ND,-,-,-,-,-,-,-,-,-,-,333,-,6000
28,3,2005-09-01,196.0,-,2,3.0,-,-,-,-,79,7.6,-,-,-,8.1,-,-,-,5,-,-,ND,ND,-,-,-,-,-,-,-,ND,0.007,-,-,-,-,-,-,-,ND,0.211,ND,-,0.024,ND,-,-,ND,-,-,-,-,-,-,-,-,-,-,-,-,ND,-,-,-,-,-,-,-,-,-,-,770,-,6000
28,3,2005-10-01,179.0,-,5,5.3,-,-,-,-,82,8.6,-,-,-,7.9,-,-,-,4,-,-,ND,ND,-,-,-,-,-,-,-,ND,ND,-,-,-,-,-,-,-,0.002,0.057,ND,-,0.001,ND,-,-,ND,-,-,-,-,-,-,-,-,-,-,-,-,ND,-,-,-,-,-,-,-,-,-,-,687,-,6000.000
28,3,2005-11-01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
28,3,2005-12-01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
28,3,2006-01-01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
28,3,2006-02-01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
28,3,2006-03-01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
28,3,2006-04-01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
28,3,2006-05-01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
28,3,2006-06-01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
28,3,2006-07-01,176.0,80.0,10,9.6,-,25.4,-,0.0,80,-,-,-,-,7.3,-,-,-,3,-,-,0.005,0.005,-,-,-,-,-,-,-,0.0005,0.0005,-,-,-,-,-,-,-,0.002,0.122,0.001,-,0.01,0.00005,-,-,0.0002,-,0.005,-,-,-,-,-,-,-,-,-,-,0.00005,-,-,-,-,-,-,-,-,-,-,1,-,6000
28,3,2006-08-01,175.0,83.6,7,6.5,-,27.1,-,0.0,79,-,-,-,-,7.5,-,-,-,6,-,-,0.005,0.005,-,-,-,-,-,-,-,0.0005,0.0005,-,-,-,-,-,-,-,0.002,0.173,0.001,-,0.01,0.00005,-,-,0.0002,-,0.005,-,-,-,-,-,-,-,-,-,-,0.00005,-,-,-,-,-,-,-,-,-,-,200,-,4100
28,3,2006-09-01,196.0,92.9,2,3.3,-,31.4,-,0.0,93,-,-,-,-,7.3,-,-,-,6,-,-,0.005,0.005,-,-,-,-,-,-,-,0.0005,0.0005,-,-,-,-,-,-,-,0.011,0.123,0.001,-,0.018,0.00005,-,-,0.0002,-,0.005,-,-,-,-,-,-,-,-,-,-,0.00005,-,-,-,-,-,-,-,-,-,-,300,-,7200
28,3,2006-10-01,187.0,93.0,4,2.9,-,29.8,-,0.0,91,-,-,-,-,7.0,-,-,-,6,-,-,0.005,0.005,-,-,-,-,-,-,-,0.0005,0.0005,-,-,-,-,-,-,-,0.001,0.198,0.001,-,0.022,0.00005,-,-,0.0002,-,0.005,-,-,-,-,-,-,-,-,-,-,0.00005,-,-,-,-,-,-,-,-,-,-,300,-,5100
28,3,2006-11-01,198.3,94.8,4,2.8,-,29.0,-,0.0,87,-,-,-,-,7.1,-,-,-,5,-,-,0.005,0.005,-,-,-,-,-,-,-,0.0005,0.0005,-,-,-,-,-,-,-,0.001,0.005,0.001,-,0.010,0.00005,-,-,0.0002,-,0.005,-,-,-,-,-,-,-,-,-,-,0.00005,-,-,-,-,-,-,-,-,-,-,400,-,2200
28,3,2006-12-01,164.9,78.7,4,6.6,-,28.1,-,0.0,68,-,-,-,-,7.4,-,-,-,9,-,-,0.005,0.005,-,-,-,-,-,-,-,0.0005,0.0006,-,-,-,-,-,-,-,0.001,0.228,0.001,-,0.016,0.00005,-,-,0.0002,-,0.005,-,-,-,-,-,-,-,-,-,-,0.00005,-,-,-,-,-,-,-,-,-,-,600,-,3700
28,3,2007-01-01,122.0,58.0,49,21.3,-,27.1,-,0.0,52,-,-,-,-,6.5,-,-,-,4,-,-,0.005,0.005,-,-,-,-,-,-,-,0.0005,0.0005,-,-,-,-,-,-,-,0.001,0.299,0.001,-,0.033,0.00005,-,-,0.0002,-,0.005,-,-,-,-,-,-,-,-,-,-,0.00005,-,-,-,-,-,-,-,-,-,-,500,-,1000
28,3,2007-02-01,151.2,72.1,30,1.8,-,25.2,-,0.0,152,-,-,-,-,7.3,-,-,-,1,-,-,0.005,NA,-,-,-,-,-,-,-,NA,0.009,-,-,-,-,-,-,-,0.0109,0.059,0.0078,-,0.0263,-,-,-,-,-,0.0218,-,-,-,-,-,-,-,-,-,-,0.00089,-,-,-,-,-,-,-,-,-,-,0,-,1600
28,3,2007-03-01,172.3,82.3,5,1.9,-,29.0,-,0.0,172,-,-,-,-,6.9,-,-,-,2,-,-,0.006,NA,-,-,-,-,-,-,-,NA,0.004,-,-,-,-,-,-,-,0.0048,0.0047,0.0132,-,0.0046,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.00003,-,-,-,-,-,-,-,-,-,-,47,-,1600
28,3,2007-04-01,161.8,80.6,52,20.5,-,32.6,-,0.0,184,-,-,-,-,7.0,-,-,-,9,-,-,0.001,NA,-,-,-,-,-,-,-,NA,0.0093,-,-,-,-,-,-,-,0.004,0.049,0.0079,-,0.0051,NA,-,-,0.001,-,NA,-,-,-,-,-,-,-,-,-,-,NA,-,-,-,-,-,-,-,-,-,-,140,-,170
28,3,2007-05-01,148.0,73.5,180,44.7,-,31.1,-,0.0,156,-,-,-,-,8.2,-,-,-,7,-,-,NA,NA,-,-,-,-,-,-,-,NA,NA,-,-,-,-,-,-,-,NA,0.93,NA,-,0.065,0.00005,-,-,NA,-,0.39,-,-,-,-,-,-,-,-,-,-,NA,-,-,-,-,-,-,-,-,-,-,3500,-,5400
28,3,2007-06-01,174.0,83.1,36,23.0,-,27.4,-,0.0,184,-,-,-,-,7.9,-,-,-,8,-,-,NA,NA,-,-,-,-,-,-,-,NA,NA,-,-,-,-,-,-,-,0.0948,0.7008,NA,-,0.074,0.00005,-,-,NA,-,0.33,-,-,-,-,-,-,-,-,-,-,NA,-,-,-,-,-,-,-,-,-,-,16000,-,16000
28,3,2007-07-01,163.1,77.9,14,13.0,-,25.6,-,0.0,77,-,-,-,-,6.9,-,-,-,5,-,-,0.005,0.005,-,-,-,-,-,-,-,0.001,0.001,-,-,-,-,-,-,-,0.006,0.676,0.001,-,0.047,0.00005,-,-,0.0001,-,0.005,-,-,-,-,-,-,-,-,-,-,0.00096,-,-,-,-,-,-,-,-,-,-,1400,-,15200
