id,user_id,point_id,standard_id,date,peak_vektor_std,time,transversal_freq,vertical_freq,longitudinal_freq,transversal_ppv,vertical_ppv,longitudinal_ppv,peak_vektor,noise_level,blast_location,weather,sampler,remarks
1,1,5,8,2016-08-08,7,12:36:30,13,6.3,7.6,5.29,4.89,6.64,7.81,79.3,Araren Pit,Bright,AP/AL,-
1,1,5,8,2016-08-12,7,12:22:08,6.8,6.9,9.7,1.02,1.1,1.11,1.28,76.2,Araren Pit,Bright,BK/RH/RT,-
1,1,5,8,2016-08-15,7,12:54:28,16,6.5,8.5,6.24,5.95,8.16,10.5,86.2,Araren Pit,Bright,AP/CR,-
1,1,5,8,2016-08-16,7,12:55:55,10,11,7.6,0.873,0.841,1.29,1.33,91.4,Araren Pit,Bright,RT/BK,-
1,1,5,8,2016-08-24,7,12:59:57,6.1,13,6.3,6.81,4.86,8.52,8.57,85.3,Araren Pit,Bright,RH/RT,-
1,1,5,8,2016-08-26,7,12:29:01,4.7,6,4.9,0.762,0.556,0.603,0.771,66.5,Araren Pit,Bright,BK,-
1,1,5,8,2016-08-27,7,12:32:26,4.9,7.1,4.8,0.698,0.841,0.937,1.23,63.2,Araren Pit,Bright,BK,-
1,1,5,8,2016-09-02,7,12:40:29,4.3,6.4,4.2,1.97,1.21,1.52,2.04,58.7,Araren Pit,Bright,CR,-
1,1,5,8,2016-09-05,7,12:29:59,5.3,9.3,6.2,12,10.1,14,17.2,78.7,Araren Pit,Bright,CR,-
1,1,5,8,2016-09-06,7,17:07:11,5.3,N/A,61,10.8,8.25,8.25,12.5,69.1,Araren Pit,Bright,AP/CR,-
1,1,5,8,2016-09-08,7,12:30:42,9.7,14,11,1.27,0.762,1.02,1.33,64.5,Araren Pit,Bright,AP/CR,-
1,1,5,8,2016-09-10,7,17:03:42,7.9,8.8,7.1,24.5,17.1,17.8,26.7,78.7,Araren Pit,Bright,AP/MU,-
1,1,5,8,2016-09-15,7,12:35:20,9.1,8.3,8.1,1.9,1.02,1.4,2.02,63.1,Araren Pit,Bright,AP/MU,-
1,1,5,8,2016-09-15,7,17:04:37,8.3,8,8.8,2.03,1.9,1.9,2.62,79.6,Araren Pit,Bright,AP/MU,-
1,1,5,8,2016-09-16,7,17:09:08,7.1,15,11,1.52,0.889,1.52,1.63,100.9,Araren Pit,Bright,AP/CA,-
1,1,5,8,2016-09-17,7,12:33:13,9.1,11,6,4.44,2.03,6.48,6.52,67.6,Araren Pit,Bright,AP/AL,-
1,1,5,8,2016-09-21,7,12:28:27,5.2,6.3,6.7,2.41,2.16,1.9,2.92,63.5,Araren Pit,Bright,BK/CR/RT,-
1,1,5,8,2016-09-23,7,17:09:14,4.2,8.7,6.2,7.75,4.83,8.89,11.4,101.1,Araren Pit,Bright,AP/CR,-
1,1,5,8,2016-09-27,7,12:34:35,6.1,5.3,6.2,1.4,2.29,2.29,3.27,76.1,Araren Pit,Bright,RT/RH,-
1,1,5,8,2016-09-30,7,17:14:47,4.9,7.5,4.3,4.19,5.08,7.75,7.92,96.3,Araren Pit,Bright,DA/MU,-
1,1,5,8,2016-10-01,7,16:59:11,4.7,7.6,5.2,6.6,5.21,5.33,7.57,91,Araren Pit,Bright,DA/MU,-
1,1,5,8,2016-10-04,7,12:59:56,7,10.1,7.5,22,7.11,18.5,25.2,70.5,Araren Pit,Bright,CR,-
1,1,5,8,2016-10-04,7,13:01:15,7.6,14.6,8.8,2.54,2.41,2.67,3.48,83.3,Araren Pit,Bright,CR,2nd blast
1,1,5,8,2016-10-04,7,16:56:11,10.6,9.8,8.8,3.81,3.43,2.54,5.04,66.8,Araren Pit,Bright,DA/SP,-
1,1,5,8,2016-10-05,7,12:28:59,6.8,7.6,8.8,1.4,1.52,1.4,1.66,63.1,Araren Pit,Bright,CR,-
1,1,5,8,2016-10-06,7,12:25:09,21,21,15.5,12.2,10.8,13.7,17.1,74.9,Araren Pit,Bright,CR,-
1,1,5,8,2016-10-08,7,17:16:02,4.4,6.4,4.2,4.19,4.7,7.11,7.14,85.5,Araren Pit,Bright,DA/CA,-
1,1,5,8,2016-10-10,7,18:18:44,7.9,6.9,6.6,2.79,2.41,2.67,3.33,79.5,Araren Pit,Bright,RH,-
1,1,5,8,2016-10-11,7,17:03:59,3.8,7.4,4.9,3.94,2.41,3.3,4.22,78.4,Araren Pit,Bright,CR/RH,-
1,1,5,8,2016-10-13,7,12:31:49,9.6,6.1,4.9,4.95,7.24,4.95,7.25,68.4,Araren Pit,Bright,CR,-
1,1,5,8,2016-10-14,7,17:20:18,-,-,-,-,-,-,-,-,Araren Pit,Cloudy,DA/DK,Equipment at Tinerungan & Kayuwale
1,1,5,8,2016-10-15,7,12:34:02,26,19.7,8.6,2.29,2.41,1.65,2.61,76.6,Araren Pit,Bright,AL,-
1,1,5,8,2016-10-17,7,17:03:14,7.3,7.9,9.4,1.78,1.78,2.03,2.3,79.8,Araren Pit,Bright,DA/SP,-
1,1,5,8,2016-10-18,7,12:44:13,5,6.5,6.8,10.3,5.59,8.51,11.2,94.5,Araren Pit,Bright,AP,-
1,1,5,8,2016-10-20,7,17:06:59,5.1,8,5.9,6.86,3.81,4.44,7.41,87.6,Araren Pit,Bright,CR,-
1,1,5,8,2016-10-24,7,17:11:38,12,7.8,7.8,1.14,0.889,1.02,1.2,80.6,Araren Pit,Bright,CR/RH,-
1,1,5,8,2016-10-25,7,17:04:37,14.4,10.1,5.9,0.762,1.02,1.27,1.5,85.2,Araren Pit,Bright,AP/RT,-
1,1,5,8,2016-10-29,7,13:17:11,7.9,6.6,9.3,3.3,4.7,4.95,5.35,84.4,Araren Pit,Bright,RH/BK/RT,-
1,1,5,8,2016-11-02,7,17:16:10,4.5,8.5,9.9,8,6.86,6.6,10.6,77.1,Araren Pit,Bright,CR,-
1,1,5,8,2016-11-07,7,17:05:26,10.4,5.8,3.9,15,14.6,19.4,22.4,77.8,Araren Pit,Bright,AP,-
1,1,5,8,2016-11-08,7,17:03:06,11.6,9.2,9,1.14,1.4,2.67,3,95.6,Araren Pit,Bright,RH/RT,-
1,1,5,8,2016-11-09,7,17:12:31,9.8,13,7.5,1.52,1.14,1.02,1.82,89.8,Araren Pit,Bright,RH/RT,-
1,1,5,8,2016-11-12,7,17:00:10,8.5,8.4,9.2,1.14,2.29,1.4,2.51,76.7,Araren Pit,Bright,-,-
1,1,5,8,2016-11-14,7,17:07:50,14.8,14.6,13.5,1.27,1.52,1.65,2.07,84.2,Araren Pit,Bright,CR,-
