user_id,nama,lokasi
1,SF 01,Toka waste dump
1,SF 02,Batupangah Waste Dump
1,SF 05,Batupangah Waste Dump 01
1,SF 11,TSF Topsoil
1,SF 08 / Control,Original 1
1,PR 01,Plot Permanent Revegetasi MSM
1,SF 13,Pangisan Waste Dump
1,SF 04,Kopra Waste Dump
1,SF 06,Top Soil Kopra
1,SF 07,Original 2
1,SF 09,Pajajaran waste dump
1,SF 10,Area Reklamasi TTN Megazine
1,PR 02,Plot Permanent Revegetasi TTN
1,SF 14,Alaskar Waste Dump
1,SF 15,Blambangan Waste dump
