user_id,point_id,date,ph,ph_h2o,total_organic_carbon,total_nitrogen,cn,calsium,magnesium,pottasium,sodium,jumlah,p2o5_hcl_25,k2o_hcl_25,p2o5_olsen,kapasitas_tukar_kation,kb_kejenuhan_basa,al__tukar,_h__tukar,pasir,debu,lempung,bulk_density,moisture_content,ruang_pori_total,pd,sangat_cepat,cepat,lambat,air_tersedia,permeabilitas,pf_1,pf_2,pf_2_54,pf_4_2,laboratorium
1,2,2013-11-22,6.2,6.6,2.5,0.5,-,4520,3290,567,328,-,42,30,15,11.82,-,0,0,66,4,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2,2014-03-23,6.6,6.6,0.1,0.5,-,6480,5580,1100,982,-,67,27,10,27,-,0,0.04,55,22,23,1.13,-,52.7,-,-,9.6,5,9.8,1.39,-,-,-,-,-
1,2,2014-09-09,6.4,6.6,0.4,0.5,-,14.46,3.2,0.56,0.41,18.63,46,28,4.5,15.36,-,0,0.02,50,22,28,1.15,-,54.4,-,-,20,9.5,8.6,17.93,-,-,-,-,-
1,2,2015-04-01,5.22,6.57,1.05,0.12,-,13200,671,5320,95,-,7,9,14.26,14.32,-,0,0,9,53,38,1.14,-,52.2,-,-,9.8,4.3,9.3,0.45,-,-,-,-,-
1,2,2015-09-29,5.27,5.58,1.52,0.2,-,4200,610,1960,176,-,18,20,25.73,13.64,-,0.05,0.11,14,59,27,1.15,-,52.7,-,-,15.9,5.4,10.8,4.55,-,-,-,-,-
1,2,2016-04-26,5.47,5.93,1.04,0.09,-,4720,3010,596,206,-,24,21,48.32,23,-,0,0.15,20,55,25,1.05,36.77,56.1,2.39,-,15.9,5.2,15.3,2.11,51.86,40.2,35,19.7,-
1,2,2016-10-13,4.88,5.27,1.01,0.07,-,4450,3740,227,699,-,21,14,24.78,17.61,-,1.26,0.27,25,59,16,1.17,-,49.6,2.32,-,15.2,5.7,11.7,1.74,-,-,-,-,-
1,2,2017-01-16,5.17,5.46,2.16,0.13,-,2970,3320,572,270,-,2,4,9.42,27.84,-,1.28,0.11,14,59,27,1.05,-,56.8,2.43,-,16.8,6,12.1,2.71,-,-,-,-,-
1,2,2017-07-18,7.2,7.8,3.73,0.22,17,8910,8750,361,133,-,9,12,15.88,17.06,-,0,0,21,48,31,1.21,-,49.2,2.38,-,11.8,4,13.2,1.72,-,-,-,-,-
1,2,2018-01-25,6.92,8.28,1.24,0.19,7,3690,3030,113,319,-,13,17,23.15,20.3,-,0,0,17,59,24,1.08,-,54.8,2.39,-,12,5.6,14.3,1.26,-,-,-,-,-
1,2,2018-07-14,5.74,6.86,0.82,0.08,10,4640,3160,347,1060,-,8,11,21.62,18,-,1.05,0.09,21,61,18,1.09,-,52.8,2.31,-,14.2,5.4,14.5,0.93,-,-,-,-,-
1,2,2019-07-31,5.58,6.52,0.67,0.03,-,7.8,3.4,0.1,0.1,-,0.5,0.2,10.1,8.9,-,0.2,1,53,23.7,23.3,1.05,-,46.2,-,-,12.4,6.3,11.5,11.5,-,-,-,-,WLN
1,2,2019-07-31,5.58,6.52,0.67,0.03,-,7.8,3.4,0.1,0.1,-,0.5,0.2,10.1,8.9,-,0.2,1,53,23.7,23.3,1.05,-,46.2,-,-,12.4,6.3,11.5,11.5,-,-,-,-,IT
1,2,2020-03-26,5.1,6.34,0.5,0.07,-,2.1,0.9,0.2,0.1,-,8.3,0.154,0.09,3.3,-,0.2,1,56.2,18.4,25.4,1.02,-,49.2,-,-,11.7,6.9,7.3,1.15,-,-,-,-,IT
1,2,2020-10-12,5.58,6.43,2.8,0.18,-,9.95,1.96,2.83,0.95,-,285.32,335.29,45.97,31.05,50.56,tr,0.12,47.94,35.69,16.37,1.09,-,58.78,-,13.13,6.08,8.41,8.37,9.43,-,-,-,-,WLN
1,2,2021-04-20,4.66,6.21,0.84,0.09,-,11.97,4.99,0.58,0.47,-,355,331,79.8,24.71,72.91,tr,0.11,53.84,21.21,24.96,-,-,-,-,-,-,-,-,-,-,-,-,-,WLN
1,2,2021-09-23,5.26,4.82,0.09,0.05,-,4.97,2.68,0.67,0.66,-,240.8,344.6,8.9,13.59,66.09,tr,0.43,65.48,6.87,27.65,1.27,-,52.2,-,9.17,5.27,7.03,10.01,45.23,-,-,-,-,WLN
1,2,2022-03-22,5.04,6.32,1.61,0.11,-,6.56,3.03,0.53,0.06,-,15.2,422.6,5.7,10.8,94.4,tr,0.08,61.58,15.08,23.34,1.4,-,46.99,-,8.14,5.53,6.89,8.01.,36.96,-,-,-,-,WLN
