codesample_id,standard_id,date,conductivity,total_dissolved_solids_tds,total_suspended_solids_tss,turbidity,hardness,temperature_,colour,salinity,alkalinity_as_caco3,dissolved_oxygen_do,alkalinity_total,alkalinitycarbonate,alkalinitybicarbonate,ph,chloride_cl,free_chlorine,fluoride_f,sulphate_so4,sulphite_h2s,free_cyanide_fcn,total_cyanide_cn_tot,wad_cyanide_cn_wad,ammonium_nh4,ammonia_nnh3,nitrate_no3,nitrite_no2,phosphate_po4,total_nitrogen,aluminium_al,antimony_sb,arsenic_as,barium_ba,boron_b,calcium_ca,cadmium_cd,chromium_cr,chromium_hexavalent_cr6+,cobalt_co,copper_cu,iron_fe,lead_pb,magnesium_mg,manganese_mn,mercury_hg,nickel_ni,selenium_se,silver_ag,sodium_na,zinc_zn,aluminium_tal,arsenic_tas,cadmium_tcd,chromium_hexavalent_tcr6+,chromium_tcr,cobalt_tco,copper_tcu,iron_tfe,lead_tpb,selenium_tse,mercury_thg,nickel_tni,zinc_tzn,bod,cod,oil_and_grease,phenols,surfactant_mbas,benzene_hexa_chloride_bhc,endrin,dichloro_diphenyl_trichloroethane_ddt,fecal_coliform,e_coli,total_coliform_bacteria_,-
13,3,2005-01-01,-,-,22.4,15,-,-,-,-,43,9.93,-,-,-,6.96,5,-,-,5,-,-,-,-,-,-,0.14,-,-,-,-,-,-,-,-,-,-,0.02,-,-,0.02,0.34,0.04,-,0.02,0.0003,-,-,0.01,-,0.04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
13,3,2005-02-01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
13,3,2005-03-01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
13,3,2005-04-01,-,-,98.8,-,-,-,-,-,24,-,-,-,-,-,5,-,-,5.0,-,-,0.01,0.01,-,-,0.12,-,-,-,-,0.001,0.001,0.2,-,-,-,0.02,-,-,0.02,0.42,0.04,-,0.04,0.0003,-,-,0.01,-,0.04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
13,3,2005-05-01,-,-,1,4.6,-,-,-,-,69,7.5,-,-,-,7.19,3.7,-,-,3,-,-,-,-,-,-,0.008,-,-,-,-,-,-,-,-,-,-,ND,-,-,0.002,0.22,ND,-,0.025,ND,-,-,ND,-,ND,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,461,-,2420,
13,3,2005-06-01,-,-,20,27.7,-,-,-,-,36,7.7,-,-,-,7.57,2.2,-,-,10,-,-,-,ND,-,-,0.005,-,-,-,-,ND,0.001,-,-,-,-,ND,-,-,0.003,0.519,ND,-,0.043,ND,-,-,ND,-,ND,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,110,-,?1600,
13,3,2005-07-01,126,-,8,7.9,-,-,-,-,46,6.5,-,-,-,7.82,-,-,-,11,-,-,-,-,-,-,-,-,-,-,-,ND,0.0018,-,-,-,-,-,-,-,0.001,0.499,ND,-,0.051,ND,-,-,ND,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1990,-,2420,
13,3,2005-08-01,152,-,8,4.8,-,-,-,-,47,7.43,-,-,-,8.00,-,-,-,12,-,-,-,-,-,-,-,-,-,-,-,ND,0.0025,-,-,-,-,-,-,-,0.002,0.45,ND,-,0.051,ND,-,-,ND,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,-,6000,
13,3,2005-09-01,201,-,3,5,-,-,-,-,62,6.7,-,-,-,7.72,-,-,-,12,-,-,ND,ND,-,-,-,-,-,-,-,ND,0.002,-,-,-,-,-,-,-,0.001,0.597,ND,-,0.051,ND,-,-,ND,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2450,-,6000,
13,3,2005-10-01,157,-,4,8.6,-,-,-,-,59,7.7,-,-,-,7.22,-,-,-,13,-,-,ND,ND,-,-,-,-,-,-,-,ND,0.0014,-,-,-,-,-,-,-,0.002,0.225,ND,-,ND,ND,-,-,ND,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,-,6000.000,
