user_id,nama,lokasi
1,Pajajaran,Pajajaran
2,Kopra,Kopra
3,Maesa camp,Maesa camp
4,Plant site,Plant site
5,Araren,Araren
6,Alaskar,Alaskar
7,TSF,TSF
