user_id,point_id,date,ph,ph_h2o,total_organic_carbon,total_nitrogen,cn,calsium,magnesium,pottasium,sodium,jumlah,p2o5_hcl_25,k2o_hcl_25,p2o5_olsen,kapasitas_tukar_kation,kb_kejenuhan_basa,al__tukar,_h__tukar,pasir,debu,lempung,bulk_density,moisture_content,ruang_pori_total,pd,sangat_cepat,cepat,lambat,air_tersedia,permeabilitas,pf_1,pf_2,pf_2_54,pf_4_2,laboratorium
1,12,2014-03-23,6.2,6.1,0.6,0.5,-,9190,5780,541,1970,-,66,28,47,14.2,-,0,0.05,66,16,18,1.25,-,50.4,-,-,27,7.3,6.4,22.8,-,-,-,-,-
1,12,2014-09-09,5.8,5.9,1.1,0.5,-,4.74,1.09,0.33,0.43,-,42,9,22.6,6.06,-,0,0.02,81,13,6,1.19,34.7,50.8,-,-,9.4,5.1,16.3,19.68,-,-,-,-,-
1,12,2015-04-01,5.15,6.34,1.86,0.12,-,5280,182,2910,1050,-,11,12,24.18,21.08,-,0,0,23,51,26,1.04,-,58.7,-,-,16.1,4.9,14,2.8,-,-,-,-,-
1,12,2015-09-29,5.12,5.39,1.04,0.1,-,7440,279,3890,1180,-,16,14,20.17,10.53,-,0.08,0.16,19,58,23,1.09,-,54.2,-,-,17.4,6.3,8.7,12.58,-,-,-,-,-
1,12,2016-04-26,5.81,6.11,1.17,0.09,-,6180,4380,309,929,-,10,13,13.27,13,-,1.05,0.37,30,48,22,1.17,34.3,52.2,2.45,-,16.1,4.4,13.1,4.77,49,36.1,31.7,18.6,-
1,12,2016-10-13,4.73,5.14,1.1,0.06,-,5750,5810,348,743,-,20,24,36.72,11.87,-,2.88,1.75,26,45,29,1.27,-,49,2.49,-,13.8,4.7,8.6,1.72,-,-,-,-,-
1,12,2017-01-16,6.11,7.24,1.22,0.13,7.5,6180,3710,800,652,-,4,6,17.21,20.36,-,0,0,16,58,26,1.18,-,51,2.41,-,10.3,4.3,12.3,1.92,-,-,-,-,-
1,12,2017-07-17,5.68,6.69,1.07,0.12,9,6510,3890,252,988,-,7,9,16.82,12.11,-,1.09,0.13,29,59,12,1.11,-,51.7,2.3,-,14.2,5.6,11.4,5.21,-,-,-,-,-
1,12,2018-01-24,6.79,7.8,1.49,0.21,7,6300,3360,253,822,-,26,21,33.85,30.51,-,0,0,15,63,22,1.05,-,2.37,55.7,-,14.1,7,14.4,2.64,-,-,-,-,-
1,12,2018-07-14,5.93,6.67,2.95,0.29,10.17,6320,4060,190,1620,-,5,7,17.91,15,-,0,0,21,56,23,1.08,-,2.36,54.24,-,13.54,5,16.2,2.17,-,-,-,-,-
1,12,2019-02-21,5.48,6.94,1.09,0.11,-,4240,3940,139,341,-,10,-,24.81,9.31,-,1.22,0.54,24,53,23,1.2,-,51.6,-,-,25.8,8.3,8.9,5.88,-,-,-,-,WLN
1,12,2019-07-31,5.62,6.58,0.91,0.04,-,8.7,3.2,0.2,0.1,-,0.5,1,15.3,12.2,-,0.02,1,68.8,17.4,13.8,1.05,-,48.9,-,-,17.7,6.5,7.2,8.06,-,-,-,-,IT
1,12,2020-03-26,5.86,6.74,0.81,0.04,-,2.7,1.1,0.1,0.1,-,13.8,0.089,0.09,4.4,-,0.03,1,56.9,21.2,21.9,1.18,-,44.9,-,-,8.4,11.5,10.2,0.9,-,-,-,-,IT
1,12,2020-10-12,5.35,6.01,2.25,0.17,-,24.1,3.19,2.26,1.53,-,139.92,196.81,39.97,21.19,100,tr,0.12,64.19,21.04,14.77,1.09,-,58.73,-,11.94,8.11,5.95,8.47,5.04,-,-,-,-,WLN
1,12,2021-04-21,5.54,6.47,1.44,0.22,-,5.63,2.25,0.5,0.43,-,316.7,351.5,123.3,13.49,65.29,tr,0.11,69.38,12.04,18.57,-,-,-,-,-,-,-,-,-,-,-,-,-,WLN
1,12,2021-09-23,4.4,5.59,0.74,0.11,-,13.38,3.88,0.93,1.32,-,457.9,454.2,9.5,18.43,100,tr,0.23,60.15,10.52,29.34,1.16,-,56.17,-,11.71,9.25,8.92,12.68,44.83,-,-,-,-,WLN
1,12,2022-03-23,5.59,6.24,3.11,0.35,-,10.49,2.96,0.86,0,-,64.4,615.7,14,18.41,77.7,tr,0.08,67.17,12.7,20.13,1.23,-,53.73,-,9.85,8.61,7.48,9.64,10.86,-,-,-,-,WLN
