codesample_id,standard_id,date,conductivity,total_dissolved_solids_tds,total_suspended_solids_tss,turbidity,hardness,temperature_,colour,salinity,alkalinity_as_caco3,dissolved_oxygen_do,alkalinity_total,alkalinitycarbonate,alkalinitybicarbonate,ph,chloride_cl,free_chlorine,fluoride_f,sulphate_so4,sulphite_h2s,free_cyanide_fcn,total_cyanide_cn_tot,wad_cyanide_cn_wad,ammonium_nh4,ammonia_nnh3,nitrate_no3,nitrite_no2,phosphate_po4,total_nitrogen,aluminium_al,antimony_sb,arsenic_as,barium_ba,boron_b,calcium_ca,cadmium_cd,chromium_cr,chromium_hexavalent_cr6+,cobalt_co,copper_cu,iron_fe,lead_pb,magnesium_mg,manganese_mn,mercury_hg,nickel_ni,selenium_se,silver_ag,sodium_na,zinc_zn,aluminium_tal,arsenic_tas,cadmium_tcd,chromium_hexavalent_tcr6+,chromium_tcr,cobalt_tco,copper_tcu,iron_tfe,lead_tpb,selenium_tse,mercury_thg,nickel_tni,zinc_tzn,bod,cod,oil_and_grease,phenols,surfactant_mbas,benzene_hexa_chloride_bhc,endrin,dichloro_diphenyl_trichloroethane_ddt,fecal_coliform,e_coli,total_coliform_bacteria_
46,3,2011-02-01,170,119,16,-,-,26.8,-,0,-,8.36,-,-,-,7.15,3.6,-,0.13,4,<0.02,<0.005,<0.005,<0.005,<0.02,-,0.118,0.002,0.037,-,0.579,-,<0.0005,-,-,-,<0.0001,<0.001,<0.01,<0.001,<0.005,0.29,<0.001,-,0.017,<0.00002,<0.001,-,<0.0001,-,<0.005,1.97,<0.001,<0.0002,NA,NA,<0.002,<0.01,-,<0.002,<0.001,<0.00002,<0.002,0.02,<2,<10,<5,<0.001,<0.01,-,-,-,-,1300,>4840
46,3,2011-03-02,180,126,1,-,-,27.4,-,0,-,5.89,-,-,-,7.66,1.3,-,0.15,3,<0.02,<0.005,<0.005,<0.005,0.02,-,0.094,0.002,0.032,-,0.049,-,<0.0005,-,-,-,<0.0001,<0.001,-,<0.001,<0.005,0.18,<0.001,-,0.156,<0.00002,<0.001,-,<0.0001,-,<0.005,0.47,<0.001,<0.0002,<0.01,<0.002,<0.002,<0.01,-,<0.002,<0.001,<0.00005,<0.002,<0.01,<2,<10,<5,<0.001,<0.01,-,-,-,-,>4840,>4840
46,3,2011-04-05,184,128,11,-,-,28.1,-,0,-,5.32,-,-,-,7.74,2.2,-,0.15,3,<0.02,<0.005,<0.005,<0.005,0.02,-,0.092,0.002,0.053,-,0.028,-,<0.001,-,-,-,<0.0001,-,<0.01,<0.001,<0.005,0.11,<0.001,-,0.048,<0.00002,<0.001,-,<0.001,-,<0.01,0.911,<0.001,0.0164,-,-,<0.001,<0.005,-,0.03,<0.001,<0.00002,<0.001,<0.01,<2,<10,<5,<0.001,<0.01,-,-,-,-,1740,>4840
46,3,2011-05-02,170,119,123,-,-,28.4,-,0,-,5.76,-,-,-,7.26,2.4,-,0.12,<2,<0.02,<0.005,<0.005,<0.005,<0.02,-,0.054,0.002,0.055,-,0.866,-,<0.0005,-,-,-,<0.0001,-,-,<0.001,<0.005,0.6,<0.001,-,<0.005,<0.00002,<0.001,-,<0.0001,-,<0.005,3.73,<0.0005,0.0001,<0.01,-,0.002,0.013,-,0.002,<0.0005,<0.00002,<0.001,0.011,<2,<10,<5,<0.001,<0.01,-,-,-,-,2100,>4840
46,3,2011-06-02,175,123,138,-,-,30.1,-,0,-,4.81,-,-,-,7.44,1.3,-,0.15,3,<0.02,<0.005,<0.005,<0.005,<0.02,-,0.143,0.004,0.073,-,0.368,-,<0.0005,-,-,-,<0.0001,<0.001,<0.01,<0.001,<0.005,0.19,<0.001,-,<0.005,<0.00002,<0.001,-,<0.001,-,<0.005,8.47,0.0005,<0.0001,<0.01,-,0.002,0.015,-,0.002,<0.0005,0.00002,<0.001,0.009,<2,<10,<5,<0.001,0.01,-,-,-,-,340,>4840
46,3,2011-07-05,214,150,4,-,-,29,-,0,-,4.43,-,-,-,7.53,1.4,-,0.14,<2,<0.02,<0.005,<0.005,<0.005,0.02,-,0.064,<0.001,0.055,-,0.047,-,<0.0005,-,-,-,<0.0001,-,<0.01,<0.001,<0.005,0.14,<0.001,-,0.061,<0.00002,<0.001,-,<0.0001,-,<0.005,0.68,<0.0005,<0.0001,<0.01,-,<0.001,<0.005,-,<0.001,<0.0005,<0.00005,<0.001,<0.005,<2,<10,<5,<0.001,0.01,-,-,-,-,>4840,>4840
46,3,2011-08-03,214,150,6,-,-,30.2,-,0,-,4.89,-,-,-,8.15,1.6,-,0.15,<2,<0.02,<0.005,<0.005,<0.005,<0.02,-,<0.005,0.002,0.059,-,0.036,-,<0.0005,-,-,-,<0.0001,-,<0.01,<0.001,<0.005,0.14,<0.001,-,<0.005,<0.00002,<0.001,-,<0.0001,-,0.007,1.14,<0.0005,<0.0001,<0.01,-,<0.001,<0.005,-,<0.001,<0.0005,<0.00005,<0.001,0.008,<2,<10,<5,<0.001,<0.01,-,-,-,-,2240,>4840
46,3,2011-09-04,337,236,12,-,-,30.5,-,0,-,5.4,-,-,-,7.63,3.3,-,0.21,31,<   0.02,0.07,0.1,0.07,0.5,-,0.303,0.052,0.088,-,0.038,-,0.0006,-,-,-,<   0.0001,-,<   0.01,0.011,0.009,0.26,<   0.001,-,1.37,<  0.00002,0.001,-,0.0006,-,<   0.005,2.35,0.0008,<   0.0001,<   0.01,-,0.013,0.015,-,<   0.001,0.001,0.00007,0.002,0.01,<   2,<  10,<   5,<   0.001,<   0.01,-,-,-,-,>4840,>4840
46,3,2011-10-05,207,145,5,-,-,28.9,-,0,-,4.85,-,-,-,7.82,0.9,-,0.23,3,<  0.02,<  0.005,<  0.005,<  0.005,<  0.02,-,0.028,0.003,0.041,-,0.067,-,0.0006,-,-,-,<  0.0001,-,<  0.01,<  0.001,<  0.005,0.17,<  0.001,-,0.08,<  0.00005,<  0.001,-,<  0.0001,-,0.005,0.678,0.0008,<  0.0001,<  0.01,-,<  0.001,<  0.005,-,<  0.001,0.0005,<  0.00005,<  0.001,0.007,<  2,<  10,<  5,<  0.001,<  0.01,-,-,-,-,2100,>4840
46,3,2011-11-02,202,142,9,-,-,25.2,-,0,-,4.97,-,-,-,7.44,<   0.5,-,0.15,2,<   0.02,<   0.005,<   0.005,<   0.005,<   0.02,-,0.006,0.004,0.015,-,0.036,-,<   0.0005,-,-,-,<   0.0001,-,<   0.01,<   0.001,<   0.005,0.08,<   0.001,-,<   0.005,<  0.00005,<   0.001,-,<   0.0001,-,0.005,1.2,0.0006,<   0.0001,<   0.01,-,<   0.001,<   0.005,-,0.001,<   0.0005,<  0.00005,<   0.001,0.14,<   2,<  10,<   5,<   0.001,<   0.01,-,-,-,-,2100,>4840
