id,user_id,nama,sulphur_dioxide_so2,nitrogen_dioxide_no2,carbon_monoxide,ozone,total_suspended_particulate_24_hours,particulate_matter_10,particulate_matter_2_5,temperature_ambient,humidity,wind_speed,wind_direction,weather,barometric_pressure,lead_pb,hydrocarbon
1,1,Unit,ug/Nm3,ug/Nm3,ug/Nm3,ug/Nm3,ug/Nm3,ug/Nm3,ug/Nm3,C,%,m/s,-,-,mmHg,ug/Nm3,ug/Nm3
1,1,Standar*,900,400,30000,235,230,150,65,-,-,-,-,-,-,-,-
1,1,Standar**,150,200,n/a,150,230,75,55,-,-,-,-,-,-,2,160
