id,user_id,point_id,standard_id,date,time,transversal_freq,vertical_freq,longitudinal_freq,transversal_ppv,vertical_ppv,longitudinal_ppv,peak_vektor,noise_level,blast_location,weather,sampler,remarks
1,1,4,8,2021-04-27,1:35 PM,15,19,11,2.286,2.159,1.651,2.42,60.8,Alaskar,Bright,FP/BK,-
1,1,4,8,2021-05-20,1:34 PM,20,57,51,1.143,1.27,1.524,1.591,51.9,Alaskar,Bright,FP/RT,-
1,1,4,8,2021-05-21,11:54 AM,24,51,22,2.032,1.905,1.651,2.44,57.2,Alaskar,Bright,FP/FK,-
1,1,4,8,2021-05-25,12:13 PM,27,20,20,2.286,3.81,2.413,3.877,58.1,Alaskar,Bright,BK/FR,-
1,1,4,8,2021-05-28,12:18 PM,24,26,14,0.635,0.635,0.889,1.122,52.4,Alaskar,Bright,BK/FK,-
1,1,4,8,2021-05-29,11:59 AM,26,22,20,3.175,5.08,3.81,5.55,55,Alaskar,Bright,BK/FR,-
1,1,4,8,2021-05-31,12:01 PM,18,30,20,1.143,1.143,1.524,2.102,53.4,Alaskar,Bright,JK/FP,-
1,1,4,8,2021-06-02,12:40 PM,39,43,11,1.524,1.524,1.778,1.943,53.7,Alaskar,Bright,JK/BK,-
1,1,4,8,2021-06-05,2:05 PM,39,23,11,1.27,1.778,2.032,2.304,53.9,Alaskar,Bright,FP/FK,-
1,1,4,8,2021-06-07,11:59 AM,28,39,11,1.016,0.762,1.143,1.264,52.1,Alaskar,Bright,BK/FP/NB,-
1,1,4,8,2021-06-08,12:03 PM,13,23,9.3,1.524,2.032,1.27,2.386,51.2,Alaskar,Bright,FP/NB/FR,-
1,1,4,8,2021-06-09,11:47 AM,24,51,32,2.286,3.937,2.794,5.102,68.7,Alaskar,Bright,FR/RT,GRAFIK HISTOGRAM
1,1,4,8,2021-06-14,11:58 AM,9.3,30,11,0.508,0.381,0.508,0.648,62.1,Alaskar,Bright,FP/NB,-
1,1,4,8,2021-06-15,3:04 PM,51,34,28,0.635,0.635,1.143,1.212,62,Alaskar,Bright,FP/NB,-
1,1,4,8,2021-06-17,3:15 PM,16,23,9.7,1.016,0.508,0.889,1.055,52.7,Alaskar,Bright,BK,Event Report Data Error Date
1,1,4,8,2021-06-21,12:08 PM,20,43,15,0.635,0.508,0.635,0.783,72.5,Alaskar,Bright,FP/NB,-
1,1,4,8,2021-06-28,12:56 PM,14,23,26,1.016,1.143,1.016,1.442,62.3,Alaskar,Bright,BK,-
1,1,4,8,2021-07-15,12:23 PM,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Alaskar,Bright,NB/JK,-
1,1,4,8,2021-07-20,4:00 PM,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Alaskar,Bright,NB/FR,-
1,1,4,8,2021-07-27,12:30 PM,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Alaskar,Bright,NB/FR,-
1,1,4,8,2021-08-03,12:00 PM,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Alaskar,Bright,-,-
1,1,4,8,2021-08-04,12:00 PM,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Alaskar,Bright,-,-
1,1,4,8,2021-08-07,12:00 PM,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Alaskar,Bright,-,-
1,1,4,8,2021-08-12,12:29 PM,6.1,10,20,0.37,0.355,0.575,0.674,54.3,Alaskar,Bright,FP/FK,-
1,1,4,8,2021-08-14,12:23 PM,7.2,8.8,6.9,1.206,0.481,1.23,1.394,75.5,Alaskar,Bright,BK/FK,-
1,1,4,8,2021-08-18,12:07 PM,12,13,7.5,1.671,0.733,1.49,1.731,66.4,Alaskar,Bright,BK,-
1,1,4,8,2021-08-20,12:29 PM,11,9,11,1.592,0.725,1.608,1.778,68.4,Alaskar,Bright,BK,-
1,1,4,8,2021-08-23,1:17 PM,18,16,16,2.601,1.214,2.845,3.514,66.2,Alaskar,Bright,JK/FK,-
1,1,4,8,2021-08-28,1:33 PM,20,28,32,1.876,2.491,1.521,2.7,68.2,Alaskar,Bright,FK/JK,-
1,1,4,8,2021-09-01,12:42 PM,11,17,14,2.01,0.843,1.49,2.254,81.1,Alaskar,Bright,FK,-
1,1,4,8,2021-09-03,12:04 PM,9.8,9.3,7.5,0.867,0.544,0.906,0.986,71.3,Alaskar,Bright,NB/FK/BK,-
1,1,4,8,2021-09-06,12:23 PM,23,28,28,3.003,3.373,2.893,3.59,66.9,Alaskar,Bright,FP/FR,-
1,1,4,8,2021-09-07,12:00 PM,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Alaskar,Bright,-,-
1,1,4,8,2021-09-11,12:17 PM,12,18,6.7,1.868,1.072,2.262,2.727,53.6,Alaskar,Bright,BK,-
1,1,4,8,2021-09-13,12:12 PM,20,26,19,1.135,0.749,1.096,1.206,58.5,Alaskar,Bright,FP/HM,-
1,1,4,8,2021-09-14,12:48 PM,11,12,13,2.065,1.001,1.434,2.182,62.2,Alaskar,Bright,FP/HM,-
